"Exam Name","Minimum Score Required","Number of Credit","Equivalent Course"
"AP 2-D Art and Design","4","3","ART 105"
"AP 2-D Art and Design","3","3",""
"AP 3-D Art and Design","4","3","ART 106"
"AP 3-D Art and Design","3","3",""
"AP Art History","3","3",""
"AP Art History","4","3","ARTH 250"
"AP Biology","3","3","BIOL 102"
"AP Calculus AB","4","4","Math 205"
"AP Calculus AB","3","3","Math 180"
"AP Calculus BC","4","8","MATH 205 & 206"
"AP Calculus BC","3","3",""
"AP Calculus BC: AB Subscore","4","4","MATH 205"
"AP Calculus BC: AB Subscore","3","3","MATH 180"
"AP Chemistry","4","6","CHEM 201 & 202"
"AP Chemistry","3","3","CHEM 201"
"AP Chinese Language and Culture","4","3","CHIN 202"
"AP Chinese Language and Culture","5","3","CHIN 301"
"AP Chinese Language and Culture","3","3","CHIN 102"
"AP Comparative Government and Politics","4","3","POLS 202"
"AP Comparative Government and Politics","3","3",""
"AP Computer Science A","3","3",""
"AP Drawing","3","3",""
"AP Drawing","4","3","ART 107"
"AP English Language and Composition","3","3","ENGL 101"
"AP English Literature and Composition","3","3","ENGL 250"
"AP Environmental Science","3","3","BIOL 263"
"AP European History","3","3","HIST 102"
"AP French Language and Culture","3","6","FREN 320 & FREN 322"
"AP German Language and Culture","5","3","GERM 313"
"AP German Language and Culture","3","4","GERM 123"
"AP German Language and Culture","4","3","GERM 201"
"AP Human Geography","3","3","GEOG 200"
"AP Italian Language and Culture","3","4","ITAL 122"
"AP Italian Language and Culture","4","4","ITAL 123"
"AP Italian Language and Culture","5","6","ITAL 321 & 322"
"AP Japanese Language and Culture","3","3","JPN 102"
"AP Japanese Language and Culture","4","3","JPN 202"
"AP Japanese Language and Culture","5","3","JPN 301"
"AP Latin","3","6","LAT 301 & 302"
"AP Macroeconomics","3","3","ECON 202"
"AP Microeconomics","3","3","ECON 201"
"AP Music Aural Subscore","5","","MUS 141 & 142"
"AP Music Non-Aural Subscore","5","","MUS 141 & 142"
"AP Music Theory","3","3",""
"AP Physics 1","3","4","PHYS 221 & 223"
"AP Physics 2","3","4","PHYS 222 & 224"
"AP Physics C: Electricity and Magnetism","3","5","PHYS 296 & 299"
"AP Physics C: Mechanics","3","5","PHYS 295 & 298"
"AP Psychology","3","3",""
"AP Psychology","4","3","PSYC 201"
"AP Research","3","3",""
"AP Seminar","3","3",""
"AP Spanish Language and Culture","3","4","SPAN 122"
"AP Spanish Language and Culture","5","6","SPAN 201 & 202"
"AP Spanish Language and Culture","4","4","SPAN 123"
"AP Spanish Literature and Culture","4","6","SPAN 313 & 202"
"AP Spanish Literature and Culture","3","3","SPAN 313"
"AP Statistics","3","3","MATH 109"
"AP United States Government and Politics","3","3",""
"AP United States Government and Politics","4","3","POLS 201"
"AP United States History","3","6","HIST 104 & 105"
"AP World History: Modern","3","3","HIST 102"
